variable,level,n_unweighted,w,total_w,prop,prop_pct
csection,0,5158,5028.523126000005,5722.845035000006,0.8786753957596896,87.86753957596896
csection,1,702,694.3219090000009,5722.845035000006,0.12132460424031039,12.132460424031038
educ,0,1002,1097.1113629999986,5722.8450349999985,0.19170733372828413,19.170733372828412
educ,1,598,587.7026319999999,5722.8450349999985,0.10269413699055369,10.269413699055368
educ,2,2962,2796.169502000001,5722.8450349999985,0.4885978014255285,48.85978014255285
educ,3,1298,1241.8615379999992,5722.8450349999985,0.2170007278556337,21.70007278556337
facility_sector,other_facility,924,876.8568210000007,5722.845035000007,0.15322043767344465,15.322043767344464
facility_sector,private,1659,1590.8704109999976,5722.845035000007,0.27798593204437444,27.798593204437445
facility_sector,public,3277,3255.1178030000083,5722.845035000007,0.5687936302821809,56.87936302821809
region,1,812,1164.4456480000074,5722.845035000012,0.20347320971971852,20.347320971971854
region,2,962,958.2793199999999,5722.845035000012,0.16744806370595666,16.744806370595665
region,3,1230,1098.046672000004,5722.845035000012,0.19187076799817657,19.187076799817657
region,4,1091,733.8405799999994,5722.845035000012,0.1282300281611588,12.823002816115881
region,5,811,697.1583249999992,5722.845035000012,0.12182023464488197,12.182023464488196
region,6,954,1071.0744900000016,5722.845035000012,0.18715769577010735,18.715769577010736
sex,1,3050,3021.7701889999967,5722.845035,0.5280188735706342,52.801887357063414
sex,2,2810,2701.074846000003,5722.845035,0.47198112642936574,47.19811264293657
skilled_attendant,0,201,194.50285299999985,5722.845035000005,0.03398709065341653,3.3987090653416527
skilled_attendant,1,5659,5528.342182000005,5722.845035000005,0.9660129093465835,96.60129093465835
urban,0,2574,2373.188406999991,5722.845034999984,0.41468681966503707,41.46868196650371
urban,1,3286,3349.6566279999934,5722.845034999984,0.585313180334963,58.531318033496305
wealth_q,1,580,560.222886000001,5722.845035,0.09789237391083769,9.789237391083768
wealth_q,2,727,735.8325149999981,5722.845035,0.12857809542277743,12.857809542277742
wealth_q,3,1136,1088.5708700000007,5722.845035,0.1902149828175455,19.02149828175455
wealth_q,4,1578,1498.8212020000021,5722.845035,0.26190141316660726,26.190141316660725
wealth_q,5,1839,1839.397561999998,5722.845035,0.32141313468223204,32.1413134682232
