group,variable,level,w,total_w,prop,prop_pct
Excluded,educ,0,25.889975999999997,171.46446799999995,0.1509932425183275,15.09932425183275
Excluded,educ,1,18.402837,171.46446799999995,0.1073274084984185,10.73274084984185
Excluded,educ,2,104.85836399999998,171.46446799999995,0.6115457343617104,61.15457343617104
Excluded,educ,3,22.313291,171.46446799999995,0.13013361462154366,13.013361462154366
Excluded,region,1,10.756545000000001,171.46446800000007,0.06273337634010562,6.273337634010562
Excluded,region,2,31.056393,171.46446800000007,0.18112436566157827,18.11243656615783
Excluded,region,3,11.465901,171.46446800000007,0.06687042005694145,6.6870420056941455
Excluded,region,4,61.849067000000055,171.46446800000007,0.36071069255001587,36.07106925500159
Excluded,region,5,14.492006999999997,171.46446800000007,0.08451900950114044,8.451900950114045
Excluded,region,6,41.844555,171.46446800000007,0.24404213589021828,24.40421358902183
Excluded,urban,0,79.066452,171.464468,0.46112441208519067,46.112441208519066
Excluded,urban,1,92.39801600000003,171.464468,0.5388755879148094,53.88755879148094
Excluded,wealth_q,1,8.54592,171.46446800000007,0.04984076351025681,4.984076351025681
Excluded,wealth_q,2,34.38215499999999,171.46446800000007,0.20052058249176136,20.052058249176135
Excluded,wealth_q,3,39.38877500000002,171.46446800000007,0.2297197516164107,22.97197516164107
Excluded,wealth_q,4,47.759458000000016,171.46446800000007,0.2785385132971106,27.85385132971106
Excluded,wealth_q,5,41.38816000000001,171.46446800000007,0.24138038908446033,24.13803890844603
Included,educ,0,1097.1113629999986,5722.8450349999985,0.19170733372828413,19.170733372828412
Included,educ,1,587.7026319999999,5722.8450349999985,0.10269413699055369,10.269413699055368
Included,educ,2,2796.169502000001,5722.8450349999985,0.4885978014255285,48.85978014255285
Included,educ,3,1241.8615379999992,5722.8450349999985,0.2170007278556337,21.70007278556337
Included,region,1,1164.4456480000074,5722.845035000012,0.20347320971971852,20.347320971971854
Included,region,2,958.2793199999999,5722.845035000012,0.16744806370595666,16.744806370595665
Included,region,3,1098.046672000004,5722.845035000012,0.19187076799817657,19.187076799817657
Included,region,4,733.8405799999994,5722.845035000012,0.1282300281611588,12.823002816115881
Included,region,5,697.1583249999992,5722.845035000012,0.12182023464488197,12.182023464488196
Included,region,6,1071.0744900000016,5722.845035000012,0.18715769577010735,18.715769577010736
Included,urban,0,2373.188406999991,5722.845034999984,0.41468681966503707,41.46868196650371
Included,urban,1,3349.6566279999934,5722.845034999984,0.585313180334963,58.531318033496305
Included,wealth_q,1,560.222886000001,5722.845035,0.09789237391083769,9.789237391083768
Included,wealth_q,2,735.8325149999981,5722.845035,0.12857809542277743,12.857809542277742
Included,wealth_q,3,1088.5708700000007,5722.845035,0.1902149828175455,19.02149828175455
Included,wealth_q,4,1498.8212020000021,5722.845035,0.26190141316660726,26.190141316660725
Included,wealth_q,5,1839.397561999998,5722.845035,0.32141313468223204,32.1413134682232
